row_title,obj_title,obj_cost,obj_reqs
Tier 0 / Lesser Powers,Mover (Reaction),1 SP,N/A
Tier 0 / Lesser Powers,Shaker (Minor Telekinesis),1 SP,N/A
Tier 0 / Lesser Powers,Shaker (Alarm),1 SP,N/A
Tier 0 / Lesser Powers,Striker (Handmade),1 SP,N/A
Tier 0 / Lesser Powers,Shaker/Stranger (Privacy),1 SP,N/A
Tier 0 / Lesser Powers,Brute (Hysterical Strength),1 SP,N/A
Tier 0 / Lesser Powers,Brute (Pink Muscles),1 SP,N/A
Tier 0 / Lesser Powers,Brute (Black Bone),1 SP,N/A
Tier 0 / Lesser Powers,Brute (Countless Joints),1 SP,N/A
Tier 0 / Lesser Powers,Brute (Lung),1 SP,N/A
Tier 0 / Lesser Powers,Brute (Stiff),1 SP,N/A
Tier 0 / Lesser Powers,Breaker (Icy Hot),1 SP,N/A
Tier 0 / Lesser Powers,Breaker (Vibration),1 SP,N/A
Tier 0 / Lesser Powers,Master (Hypnotist),1 SP,N/A
Tier 0 / Lesser Powers,Tinker (Handyman),1 SP,N/A
Tier 0 / Lesser Powers,Blaster (Deadshot),1 SP,N/A
Tier 0 / Lesser Powers,Thinker (Multitask),1 SP,N/A
Tier 0 / Lesser Powers,Thinker (Rubber Ducky),1 SP,N/A
Tier 0 / Lesser Powers,Thinker (Bullet Time),1 SP,N/A
Tier 0 / Lesser Powers,Thinker (Gut Instinct),1 SP,N/A
Tier 0 / Lesser Powers,Thinker (Hindsight),1 SP,N/A
Tier 0 / Lesser Powers,Striker (Finger Painting),1 SP,N/A
Tier 0 / Lesser Powers,Striker (Precise Strike),1 SP,N/A
Tier 0 / Lesser Powers,Striker (Optimal),1 SP,N/A
Tier 0 / Lesser Powers,Striker (Heat Exchange),1 SP,N/A
Tier 0 / Lesser Powers,Changer (Hair/Nails),1 SP,N/A
Tier 0 / Lesser Powers,Changer (Contortionist),1 SP,N/A
Tier 0 / Lesser Powers,Changer (Ritsuka),1 SP,N/A
Tier 0 / Lesser Powers,Thinker (A Word),1 SP,N/A
Tier 0 / Lesser Powers,Stranger (Weakling),1 SP,N/A
Tier 0 / Lesser Powers,Brute/Breaker (Power Nap),1 SP,N/A
Tier 0 / Lesser Powers,Thinker/Master (Autopilot),1 SP,N/A
Tier 0 / Lesser Powers,Thinker/Master (Emotional Magnet),1 SP,N/A
Tier 0 / Lesser Powers,Thinker/Master (Organized Mind),1 SP,N/A
Tier 0 / Lesser Powers,Shaker/Master (Speaker),1 SP,N/A
Tier 0 / Lesser Powers,Thinker/Stranger (Fitting In),1 SP,N/A
Tier 0 / Lesser Powers,Tinker/Changer (Cosmetic Artist),1 SP,N/A
Tier 0 / Lesser Powers,Tinker/Stranger (Faker),1 SP,N/A
Tier 0 / Lesser Powers,Brute/Thinker (Painkiller),1 SP,N/A
Tier 0 / Lesser Powers,Blaster/Striker (Caustic Fluids),1 SP,N/A
